fold,model,start,end,mae,rmse,mape_pct,peak_mape_pct_top10,r2
1,XGBoost_ONNX,2020-10-07 16:00:00,2021-07-01 02:00:00,189.76197119942339,253.4814069828196,1.3332897727492188,1.2951874905838199,0.9795916779294568
1,LSTM_ONNX,2020-10-07 16:00:00,2021-07-01 02:00:00,123.12427355027259,173.34709038741366,0.8424359690446551,0.8495548810015482,0.9904556096228929
1,Persistence_lag1h,2020-10-07 16:00:00,2021-07-01 02:00:00,351.60628303362006,459.73761595960934,2.404155584174573,2.1012863224546816,0.932867138358559
2,XGBoost_ONNX,2021-07-01 03:00:00,2022-03-24 13:00:00,211.93527166609653,291.3589664278349,1.4461160402507927,1.5860044603653942,0.9708141274915895
2,LSTM_ONNX,2021-07-01 03:00:00,2022-03-24 13:00:00,155.85131302895562,230.02521179498407,1.0575899380000289,1.138514065202885,0.9818085723353271
2,Persistence_lag1h,2021-07-01 03:00:00,2022-03-24 13:00:00,326.04915089913993,434.21345589813586,2.232665685693589,1.933003039673526,0.9351779948753026
3,XGBoost_ONNX,2022-03-24 14:00:00,2022-12-16 00:00:00,219.09835692557664,294.427836357888,1.3700520388317772,0.6835626555033033,0.9829417724494992
3,LSTM_ONNX,2022-03-24 14:00:00,2022-12-16 00:00:00,144.8667584166232,203.08455905032568,0.9015665375929695,0.9153640249473457,0.9918842253951858
3,Persistence_lag1h,2022-03-24 14:00:00,2022-12-16 00:00:00,367.80287568412825,481.16863963059376,2.2636717339246117,2.297867569635495,0.9544413551993167
4,XGBoost_ONNX,2022-12-16 01:00:00,2023-09-08 11:00:00,224.46239230477912,329.03453681275425,1.3679169461043579,0.6729619632551362,0.9756656729851425
4,LSTM_ONNX,2022-12-16 01:00:00,2023-09-08 11:00:00,186.86258340755992,305.13083411231713,1.1084064989037055,1.2577022795048747,0.9790729235381237
4,Persistence_lag1h,2022-12-16 01:00:00,2023-09-08 11:00:00,418.8227568412823,549.9932302710956,2.47754221450719,2.63710008206,0.9320090582844246
5,XGBoost_ONNX,2023-09-08 12:00:00,2024-05-31 22:00:00,299.5661812328968,414.4410829733206,1.7305606951488466,1.574729877022684,0.9726618526150648
5,LSTM_ONNX,2023-09-08 12:00:00,2024-05-31 22:00:00,290.5684742109277,410.4976827270561,1.6360712972420217,1.9075384234125248,0.9731796216244284
5,Persistence_lag1h,2023-09-08 12:00:00,2024-05-31 22:00:00,537.6223768569195,702.3351391810576,3.0585131799186773,3.034460963185474,0.9214886805934168
